# 这是本地源列表，一行一个源，格式为：频道名称,接口地址$!
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address$!
# Support setting whitelist: add  after the interface$!

华视,rtmp://f13h.mine.nu/sat/tv111
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8
辽宁体育,http://120.76.248.139/live/bfgd/4200000611.m3u8
风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8

北京新闻,http://s.kantv.online/jiao/bj.php?id=bjws
翡翠台,http://cdn.132.us.kg/live/fct4k/stream.m3u8$!
翡翠台,https://cdn.163.dedyn.io/live/fct4k/stream.m3u8$!
翡翠台,https://live.cdn.com.mp/live/j1/stream.m3u8$!
山东教育,http://s.kantv.online/jiao/xue.php?id=sdjy$!
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8$!
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8$!
西安新闻,http://xatv-yt.xiancity.cn/live/1/index.m3u8$!
西安都市,http://xatv-yt.xiancity.cn/live/2/index.m3u8$!
西安商务,http://xatv-yt.xiancity.cn/live/3/index.m3u8$!
西安戏剧,http://xatv-yt.xiancity.cn/live/4/index.m3u8$!
西安丝路,http://xatv-yt.xiancity.cn/live/5/index.m3u8$!
西安移动,http://xatv-yt.xiancity.cn/live/7/index.m3u8$!
ViuTV电视,http://107.174.52.32/itv.php?id=云南卫视$!
浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$!
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$!
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$!
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8$!
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$!
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$!
浙江休闲台,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8$!
浙江青田,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8$!
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed$!
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8$!
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8$!
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8?zzhed$!
龙游生活娱乐,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8$!
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8$!
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8?zzhed$!
龙游新闻综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8$!
龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8?zzhed$!
龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8$!
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8$!
遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8?zzhed$!
遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8$!
遂昌新闻综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8$!
象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8$!
象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed$!
象山电视台新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8$!
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8$!
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8$!
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8?zzhed$!
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed?$!
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed$!
萧山生活,https://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8$!
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed$!
萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8$!
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8$!
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed$!
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed?$!
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed$!
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8$!
缙云新闻综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8$!
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8$!
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed$!
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?$!
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8$!
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8$!
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed$!
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed$!
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed$!
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8$!
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8$!
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed$!
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?$!
洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8?zzhed?$!
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8?zzhed$!
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8$!
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed$!
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8$!
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8$!
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8?zzhed?$!
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8?zzhed$!
松阳新闻综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8$!
普陀电视台,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8$!
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8$!
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8?zzhed$!
新昌生活,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$!
新昌新闻综合,https://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8$!
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8$!
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed$!
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed?$!
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8$!
数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$!
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8?zzhed$!
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8$!
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed$!
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8$!
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed$!
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed$!
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed?$!
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8$!
庆元新闻综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8$!
厦门一套,https://live1b.kxm.xmtv.cn/xm1bf/playlist.m3u8$!
厦门一套,https://live1b.kxm.xmtv.cn/xm1bf/tvzb/live.m3u8$!
厦门二套,https://live1b.kxm.xmtv.cn/xm2bf/playlist.m3u8$!
厦门二套,https://live1b.kxm.xmtv.cn/xm2bf/tvzb/live.m3u8$!
移动电视,https://live1b.kxm.xmtv.cn/xmyidongbf_1b/playlist.m3u8$!
厦门移动电视,https://live1b.kxm.xmtv.cn/xmyidongbf_1b/tvzb/live.m3u8$!
江苏城市,http://s.kantv.online/jiao/js.php?id=jscs$!
江苏综艺,http://s.kantv.online/jiao/js.php?id=jszy$!
江苏影视,http://s.kantv.online/jiao/js.php?id=jsys$!
江苏新闻,http://s.kantv.online/jiao/js.php?id=jsxw$!
江苏教育,http://s.kantv.online/jiao/js.php?id=jsjy$!
江苏体育休闲,http://s.kantv.online/jiao/js.php?id=jsty$!
江苏国际,http://s.kantv.online/jiao/js.php?id=jsgj$!
优漫卡通,http://s.kantv.online/jiao/js.php?id=ymkt$!
南京新闻综合,http://s.kantv.online/jiao/js.php?id=nj1$!
六合新闻综合,http://s.kantv.online/jiao/js.php?id=njlh$!
无锡新闻综合,http://s.kantv.online/jiao/js.php?id=wx1 $!
江阴新闻综合,http://s.kantv.online/jiao/js.php?id=wxjy$!
徐州新闻综合,http://s.kantv.online/jiao/js.php?id=xz1$!
邳州综合,http://s.kantv.online/jiao/js.php?id=xzpz$!
新沂新闻综合,http://s.kantv.online/jiao/js.php?id=xzxy$!
贾汪新闻综合,http://s.kantv.online/jiao/js.php?id=xzjw$!
铜山新闻综合,http://s.kantv.online/jiao/js.php?id=xzts$!
常州新闻,http://s.kantv.online/jiao/js.php?id=cz1$!
武进综合,http://s.kantv.online/jiao/js.php?id=czwj$!
苏州新闻综合,http://s.kantv.online/jiao/js.php?id=sz1$!
常熟综合,http://s.kantv.online/jiao/js.php?id=szcs$!
吴江新闻综合,http://s.kantv.online/jiao/js.php?id=szwj$!
张家港新闻综合,http://s.kantv.online/jiao/js.php?id=szzjg$!
南通新闻综合,http://s.kantv.online/jiao/js.php?id=nt1$!
连云港新闻综合,http://s.kantv.online/jiao/js.php?id=lyg1$!
东海新闻综合,http://s.kantv.online/jiao/js.php?id=lygdh$!
淮安综合,http://s.kantv.online/jiao/js.php?id=ha1$!
盱眙综合,http://s.kantv.online/jiao/js.php?id=haxy$!
洪泽综合,http://s.kantv.online/jiao/js.php?id=hahz$!
盐城1套,http://s.kantv.online/jiao/js.php?id=yc1$!
响水综合,http://s.kantv.online/jiao/js.php?id=ycxs$!
扬州新闻,http://s.kantv.online/jiao/js.php?id=yz1$!
邗江综合,http://s.kantv.online/jiao/js.php?id=yzhj$!
镇江新闻综合,http://s.kantv.online/jiao/js.php?id=zj1$!
句容新闻综合,http://s.kantv.online/jiao/js.php?id=zjjr$!
泰州新闻,http://s.kantv.online/jiao/js.php?id=tz1$!
靖江新闻,http://s.kantv.online/jiao/js.php?id=tzjj$!
泰兴新闻综合,http://s.kantv.online/jiao/js.php?id=tztx$!
兴化新闻综合,http://s.kantv.online/jiao/js.php?id=tzxh$!
宿迁综合,http://s.kantv.online/jiao/js.php?id=sq1$!
泗阳综合,http://s.kantv.online/jiao/js.php?id=sqsy$!
重庆新闻,http://s.kantv.online/jiao/cq.php$!
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8$!
酉阳新闻综合,https://yypull.cbg.cn/applive/youytv01/playlist.m3u8$!
武隆综合频道,https://yypull.cbg.cn/applive/wltvzh/playlist.m3u8$!
BRTV文艺,http://s.kantv.online/jiao/bj.php?id=bjwy$!
BRTV纪实科教,http://s.kantv.online/jiao/bj.php?id=bjjs$!
BRTV影视,http://s.kantv.online/jiao/bj.php?id=bjys$!
BRTV财经,http://s.kantv.online/jiao/bj.php?id=bjcj$!
BRTV体育休闲,http://s.kantv.online/jiao/bj.php?id=bjty$!
BRTV生活,http://s.kantv.online/jiao/bj.php?id=bjsh$!
BRTV新闻,http://s.kantv.online/jiao/bj.php?id=bjxw$!
卡酷少儿,http://s.kantv.online/jiao/bj.php?id=bjkk$!
湖北荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8$!
湖北荆门教育,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8$!
湖北荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd$!
湖北武汉新闻,http://stream.appwuhan.com/1tzb/sd/live.m3u8$!
湖北武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8$!
湖北崇阳综合,http://61.184.176.248:10500/live/live.m3u8$!
湖北十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8$!
浙江公共,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$!
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$!
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$!
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$!
浙江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$!
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$!
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$!
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$!
浙江好易购,https://ali-m-l.cztv.com/channels/lantian/channel011/1080p.m3u8$!
浙江龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8?zzhed$!
浙江余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed$!
浙江缙云综合频道,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed$!
浙江开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed$!
浙江嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed$!
浙江庆元综合频道,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed$!
浙江洞头综合频道,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8?zzhed$!
浙江普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8?zzhed$!
浙江普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8$!
浙江衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8?zzhed$!
浙江绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed$!
浙江绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed$!
浙江绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8$!
浙江龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8?zzhed$!
浙江龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8$!
浙江青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8?zzhed$!
浙江余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed$!
浙江开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8?zzhed$!
浙江云和新闻综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8?zzhed$!
浙江象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed$!
浙江萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed$!
浙江萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8$!
浙江余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed$!
浙江文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed$!
浙江文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8$!
浙江萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed$!
浙江萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8$!
浙江永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8?zzhed$!
浙江上虞频道,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8$!
浙江上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed$!
浙江龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8?zzhed$!
浙江龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8$!
浙江上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed$!
浙江松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8?zzhed$!
浙江苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed$!
浙江苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8$!
浙江上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed$!
浙江绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed$!
浙江绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8$!
浙江义乌新闻综合,https://44911.hlsplay.aodianyun.com/tv_radio_44911/tv_channel_1796.m3u8?auth_key=4830573978-0-0-92824c2c03f95906a3c49a4aa28f1709&extra_key=Yc1XsmxOKy2UBoPM4Wy5vCPsEYqnj06taCR2SRB2Xrg2w28NPilH03KdIbbM5wgSql-VBohSnoO9AOKl94q2t2DWMftz-XB-2qUX-UjXcS80StcSZahB$!
浙江绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed$!
浙江杭州余杭平安,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8$!
浙江杭州余杭未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8$!
浙江杭州余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8$!
浙江丽水云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8$!
浙江丽水庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8$!
浙江丽水松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8$!
浙江丽水缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8$!
浙江丽水遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8$!
浙江丽水青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8$!
浙江丽水龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8$!
浙江宁波余姚生活,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8$!
浙江宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8$!
浙江温州永嘉综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8$!
浙江绍兴上虞影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8$!
浙江绍兴上虞综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8$!
浙江绍兴嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$!
浙江绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8$!
浙江衢州开化综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8$!
浙江衢州衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8$!
浙江衢州龙游生活,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8$!
浙江衢州龙游综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8$!
浙江金华东阳综合,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8$!
浙江金华兰溪综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8$!
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$!
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$!
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$!
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$!
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$!
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$!
之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$!
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$!
江苏频道,#genre#$!
江苏如东新闻,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8$!
江苏泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8?zjiangsd$!
江苏睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8?zjiangsd$!
江苏金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8?zjiangsd$!
江苏沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8?zjiangsd$!
江苏涟水综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8?zjiangsd$!
江苏金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8?zjiangsd$!
江苏如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8?zjiangsd$!
